type bsdf_data
format angles=deg bsdf=value scale=1
angles measured from local surface normal
AOI	0	deg.
FRED TIS integral (0-1)	4.14680360550337E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=0) [1/sr]
0	0	0	0	3.44780735139477E-02
0	0	5	0	3.32284910443348E-02
0	0	10	0	2.99153830480853E-02
0	0	15	0	0.025562274101453
0	0	20	0	2.12065435920985E-02
0	0	25	0	1.75074527265919E-02
0	0	30	0	1.46992997973215E-02
0	0	35	0	0.012738588220193
0	0	40	0	1.14605195204479E-02
0	0	45	0	1.06709231283578E-02
0	0	50	0	1.01835475607711E-02
0	0	55	0	9.83535069954063E-03
0	0	60	0	9.50199308607254E-03
0	0	65	0	9.11565798465024E-03
0	0	70	0	8.67274527655836E-03
0	0	75	0	8.22103732959891E-03
0	0	80	0	7.83126189390629E-03
0	0	85	0	7.56873751830357E-03
0	0	89.9	0	7.4764023610304E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=10) [1/sr]
0	0	0	10	3.44780735139477E-02
0	0	5	10	3.32284910443348E-02
0	0	10	10	2.99153830480853E-02
0	0	15	10	0.025562274101453
0	0	20	10	2.12065435920985E-02
0	0	25	10	1.75074527265919E-02
0	0	30	10	1.46992997973215E-02
0	0	35	10	0.012738588220193
0	0	40	10	1.14605195204479E-02
0	0	45	10	1.06709231283578E-02
0	0	50	10	1.01835475607711E-02
0	0	55	10	9.83535069954063E-03
0	0	60	10	9.50199308607253E-03
0	0	65	10	9.11565798465023E-03
0	0	70	10	8.67274527655836E-03
0	0	75	10	8.22103732959891E-03
0	0	80	10	7.83126189390629E-03
0	0	85	10	7.56873751830357E-03
0	0	89.9	10	7.4764023610304E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=20) [1/sr]
0	0	0	20	3.44780735139477E-02
0	0	5	20	3.32284910443348E-02
0	0	10	20	2.99153830480853E-02
0	0	15	20	0.025562274101453
0	0	20	20	2.12065435920985E-02
0	0	25	20	1.75074527265919E-02
0	0	30	20	1.46992997973215E-02
0	0	35	20	0.012738588220193
0	0	40	20	1.14605195204479E-02
0	0	45	20	1.06709231283578E-02
0	0	50	20	1.01835475607711E-02
0	0	55	20	9.83535069954064E-03
0	0	60	20	9.50199308607254E-03
0	0	65	20	9.11565798465024E-03
0	0	70	20	8.67274527655836E-03
0	0	75	20	8.22103732959891E-03
0	0	80	20	7.83126189390629E-03
0	0	85	20	7.56873751830357E-03
0	0	89.9	20	7.4764023610304E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=30) [1/sr]
0	0	0	30	3.44780735139477E-02
0	0	5	30	3.32284910443348E-02
0	0	10	30	2.99153830480853E-02
0	0	15	30	0.025562274101453
0	0	20	30	2.12065435920985E-02
0	0	25	30	1.75074527265919E-02
0	0	30	30	1.46992997973215E-02
0	0	35	30	0.012738588220193
0	0	40	30	1.14605195204479E-02
0	0	45	30	1.06709231283578E-02
0	0	50	30	1.01835475607711E-02
0	0	55	30	9.83535069954063E-03
0	0	60	30	9.50199308607254E-03
0	0	65	30	9.11565798465024E-03
0	0	70	30	8.67274527655836E-03
0	0	75	30	8.22103732959891E-03
0	0	80	30	7.83126189390629E-03
0	0	85	30	7.56873751830357E-03
0	0	89.9	30	7.4764023610304E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=40) [1/sr]
0	0	0	40	3.44780735139477E-02
0	0	5	40	3.32284910443348E-02
0	0	10	40	2.99153830480853E-02
0	0	15	40	0.025562274101453
0	0	20	40	2.12065435920985E-02
0	0	25	40	1.75074527265919E-02
0	0	30	40	1.46992997973215E-02
0	0	35	40	0.012738588220193
0	0	40	40	0.011460519520448
0	0	45	40	1.06709231283578E-02
0	0	50	40	1.01835475607711E-02
0	0	55	40	9.83535069954063E-03
0	0	60	40	9.50199308607254E-03
0	0	65	40	9.11565798465024E-03
0	0	70	40	8.67274527655836E-03
0	0	75	40	8.22103732959891E-03
0	0	80	40	7.83126189390629E-03
0	0	85	40	7.56873751830357E-03
0	0	89.9	40	7.4764023610304E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=50) [1/sr]
0	0	0	50	3.44780735139477E-02
0	0	5	50	3.32284910443348E-02
0	0	10	50	2.99153830480853E-02
0	0	15	50	0.025562274101453
0	0	20	50	2.12065435920985E-02
0	0	25	50	1.75074527265918E-02
0	0	30	50	1.46992997973215E-02
0	0	35	50	0.012738588220193
0	0	40	50	1.14605195204479E-02
0	0	45	50	1.06709231283578E-02
0	0	50	50	1.01835475607711E-02
0	0	55	50	9.83535069954064E-03
0	0	60	50	9.50199308607253E-03
0	0	65	50	9.11565798465024E-03
0	0	70	50	8.67274527655836E-03
0	0	75	50	8.2210373295989E-03
0	0	80	50	7.83126189390629E-03
0	0	85	50	7.56873751830357E-03
0	0	89.9	50	7.47640236103039E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=60) [1/sr]
0	0	0	60	3.44780735139477E-02
0	0	5	60	3.32284910443348E-02
0	0	10	60	2.99153830480853E-02
0	0	15	60	0.025562274101453
0	0	20	60	2.12065435920985E-02
0	0	25	60	1.75074527265919E-02
0	0	30	60	1.46992997973215E-02
0	0	35	60	0.012738588220193
0	0	40	60	1.14605195204479E-02
0	0	45	60	1.06709231283578E-02
0	0	50	60	1.01835475607711E-02
0	0	55	60	9.83535069954064E-03
0	0	60	60	9.50199308607253E-03
0	0	65	60	9.11565798465023E-03
0	0	70	60	8.67274527655836E-03
0	0	75	60	8.22103732959891E-03
0	0	80	60	7.83126189390629E-03
0	0	85	60	7.56873751830357E-03
0	0	89.9	60	7.4764023610304E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=70) [1/sr]
0	0	0	70	3.44780735139477E-02
0	0	5	70	3.32284910443348E-02
0	0	10	70	2.99153830480853E-02
0	0	15	70	0.025562274101453
0	0	20	70	2.12065435920985E-02
0	0	25	70	1.75074527265918E-02
0	0	30	70	1.46992997973215E-02
0	0	35	70	0.012738588220193
0	0	40	70	0.011460519520448
0	0	45	70	1.06709231283578E-02
0	0	50	70	1.01835475607711E-02
0	0	55	70	9.83535069954063E-03
0	0	60	70	9.50199308607254E-03
0	0	65	70	9.11565798465023E-03
0	0	70	70	8.67274527655836E-03
0	0	75	70	8.2210373295989E-03
0	0	80	70	7.83126189390629E-03
0	0	85	70	7.56873751830357E-03
0	0	89.9	70	7.4764023610304E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=80) [1/sr]
0	0	0	80	3.44780735139477E-02
0	0	5	80	3.32284910443348E-02
0	0	10	80	2.99153830480853E-02
0	0	15	80	0.025562274101453
0	0	20	80	2.12065435920985E-02
0	0	25	80	1.75074527265919E-02
0	0	30	80	1.46992997973215E-02
0	0	35	80	0.012738588220193
0	0	40	80	1.14605195204479E-02
0	0	45	80	1.06709231283578E-02
0	0	50	80	1.01835475607711E-02
0	0	55	80	9.83535069954063E-03
0	0	60	80	9.50199308607253E-03
0	0	65	80	9.11565798465023E-03
0	0	70	80	8.67274527655836E-03
0	0	75	80	8.2210373295989E-03
0	0	80	80	7.83126189390629E-03
0	0	85	80	7.56873751830357E-03
0	0	89.9	80	7.4764023610304E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=90) [1/sr]
0	0	0	90	3.44780735139477E-02
0	0	5	90	3.32284910443348E-02
0	0	10	90	2.99153830480853E-02
0	0	15	90	0.025562274101453
0	0	20	90	2.12065435920985E-02
0	0	25	90	1.75074527265919E-02
0	0	30	90	1.46992997973215E-02
0	0	35	90	0.012738588220193
0	0	40	90	1.14605195204479E-02
0	0	45	90	1.06709231283578E-02
0	0	50	90	1.01835475607711E-02
0	0	55	90	9.83535069954063E-03
0	0	60	90	9.50199308607254E-03
0	0	65	90	9.11565798465024E-03
0	0	70	90	8.67274527655836E-03
0	0	75	90	8.22103732959891E-03
0	0	80	90	7.83126189390629E-03
0	0	85	90	7.56873751830357E-03
0	0	89.9	90	7.4764023610304E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=100) [1/sr]
0	0	0	100	3.44780735139477E-02
0	0	5	100	3.32284910443348E-02
0	0	10	100	2.99153830480853E-02
0	0	15	100	0.025562274101453
0	0	20	100	2.12065435920985E-02
0	0	25	100	1.75074527265919E-02
0	0	30	100	1.46992997973215E-02
0	0	35	100	0.012738588220193
0	0	40	100	1.14605195204479E-02
0	0	45	100	1.06709231283578E-02
0	0	50	100	1.01835475607711E-02
0	0	55	100	9.83535069954063E-03
0	0	60	100	9.50199308607253E-03
0	0	65	100	9.11565798465023E-03
0	0	70	100	8.67274527655836E-03
0	0	75	100	8.22103732959891E-03
0	0	80	100	7.83126189390629E-03
0	0	85	100	7.56873751830357E-03
0	0	89.9	100	7.4764023610304E-03
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=110) [1/sr]
0	0	0	110	3.44780735139477E-02
0	0	5	110	3.32284910443348E-02
0	0	10	110	2.99153830480853E-02
0	0	15	110	0.025562274101453
0	0	20	110	2.12065435920985E-02
0	0	25	110	1.75074527265919E-02
0	0	30	110	1.46992997973215E-02
0	0	35	110	0.012738588220193
0	0	40	110	1.14605195204479E-02
0	0	45	110	1.06709231283578E-02
