type bsdf_data
format angles=deg bsdf=value scale=1
angles measured from local surface normal
AOI	0	deg.
FRED TIS integral (0-1)	6.22020540825502E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=0) [1/sr]
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=70) [1/sr]
0	0	0	70	5.17171102709215E-02
0	0	5	70	4.98427365665022E-02
0	0	10	70	4.48730745721279E-02
0	0	15	70	3.83434111521795E-02
0	0	20	70	3.18098153881477E-02
0	0	25	70	2.62611790898878E-02
0	0	30	70	2.20489496959823E-02
0	0	35	70	1.91078823302896E-02
0	0	40	70	1.71907792806719E-02
0	0	45	70	1.60063846925366E-02
0	0	50	70	1.52753213411566E-02
0	0	55	70	1.47530260493109E-02
0	0	60	70	1.42529896291088E-02
0	0	65	70	1.36734869769753E-02
0	0	70	70	1.30091179148375E-02
0	0	75	70	1.23315559943983E-02
0	0	80	70	1.17468928408594E-02
0	0	85	70	1.13531062774553E-02
0	0	89.9	70	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=80) [1/sr]
0	0	0	80	5.17171102709215E-02
0	0	5	80	4.98427365665022E-02
0	0	10	80	4.48730745721279E-02
0	0	15	80	3.83434111521795E-02
0	0	20	80	3.18098153881477E-02
0	0	25	80	2.62611790898878E-02
0	0	30	80	2.20489496959823E-02
0	0	35	80	1.91078823302896E-02
0	0	40	80	1.71907792806719E-02
0	0	45	80	1.60063846925366E-02
0	0	50	80	1.52753213411566E-02
0	0	55	80	1.47530260493109E-02
0	0	60	80	1.42529896291088E-02
0	0	65	80	1.36734869769753E-02
0	0	70	80	1.30091179148375E-02
0	0	75	80	1.23315559943983E-02
0	0	80	80	1.17468928408594E-02
0	0	85	80	1.13531062774554E-02
0	0	89.9	80	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=90) [1/sr]
0	0	0	90	5.17171102709215E-02
0	0	5	90	4.98427365665022E-02
0	0	10	90	4.48730745721279E-02
0	0	15	90	3.83434111521795E-02
0	0	20	90	3.18098153881477E-02
0	0	25	90	2.62611790898878E-02
0	0	30	90	2.20489496959823E-02
0	0	35	90	1.91078823302895E-02
0	0	40	90	1.71907792806719E-02
0	0	45	90	1.60063846925366E-02
0	0	50	90	1.52753213411566E-02
0	0	55	90	1.47530260493109E-02
0	0	60	90	1.42529896291088E-02
0	0	65	90	1.36734869769753E-02
0	0	70	90	1.30091179148375E-02
0	0	75	90	1.23315559943984E-02
0	0	80	90	1.17468928408594E-02
0	0	85	90	1.13531062774553E-02
0	0	89.9	90	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=100) [1/sr]
0	0	0	100	5.17171102709215E-02
0	0	5	100	4.98427365665022E-02
0	0	10	100	4.48730745721279E-02
0	0	15	100	3.83434111521795E-02
0	0	20	100	3.18098153881477E-02
0	0	25	100	2.62611790898878E-02
0	0	30	100	2.20489496959823E-02
0	0	35	100	1.91078823302896E-02
0	0	40	100	1.71907792806719E-02
0	0	45	100	1.60063846925366E-02
0	0	50	100	1.52753213411566E-02
0	0	55	100	1.47530260493109E-02
0	0	60	100	1.42529896291088E-02
0	0	65	100	1.36734869769753E-02
0	0	70	100	1.30091179148375E-02
0	0	75	100	1.23315559943984E-02
0	0	80	100	1.17468928408594E-02
0	0	85	100	1.13531062774554E-02
0	0	89.9	100	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=110) [1/sr]
0	0	0	110	5.17171102709215E-02
0	0	5	110	4.98427365665022E-02
0	0	10	110	4.48730745721279E-02
0	0	15	110	3.83434111521795E-02
0	0	20	110	3.18098153881477E-02
0	0	25	110	2.62611790898878E-02
0	0	30	110	2.20489496959823E-02
0	0	35	110	1.91078823302896E-02
0	0	40	110	1.71907792806719E-02
0	0	45	110	1.60063846925366E-02
0	0	50	110	1.52753213411566E-02
0	0	55	110	0.014753026049311
0	0	60	110	1.42529896291088E-02
0	0	65	110	1.36734869769753E-02
0	0	70	110	1.30091179148375E-02
0	0	75	110	1.23315559943984E-02
0	0	80	110	1.17468928408594E-02
0	0	85	110	1.13531062774554E-02
0	0	89.9	110	1.12146035415456E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=120) [1/sr]
0	0	0	120	5.17171102709215E-02
0	0	5	120	4.98427365665022E-02
0	0	10	120	4.48730745721279E-02
0	0	15	120	3.83434111521795E-02
0	0	20	120	3.18098153881477E-02
0	0	25	120	2.62611790898878E-02
0	0	30	120	2.20489496959823E-02
0	0	35	120	1.91078823302896E-02
0	0	40	120	1.71907792806719E-02
0	0	45	120	1.60063846925366E-02
0	0	50	120	1.52753213411566E-02
0	0	55	120	0.014753026049311
0	0	60	120	1.42529896291088E-02
