type bsdf_data
format angles=deg bsdf=value scale=1
angles measured from local surface normal
AOI	0	deg.
FRED TIS integral (0-1)	8.29360721100674E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=0) [1/sr]
0	0	0	0	6.89561470278953E-02
0	0	5	0	6.64569820886696E-02
0	0	10	0	5.98307660961705E-02
0	0	15	0	5.11245482029059E-02
0	0	20	0	4.24130871841969E-02
0	0	25	0	3.50149054531837E-02
0	0	30	0	0.029398599594643
0	0	35	0	2.54771764403861E-02
0	0	40	0	2.29210390408959E-02
0	0	45	0	2.13418462567155E-02
0	0	50	0	2.03670951215422E-02
0	0	55	0	1.96707013990812E-02
0	0	60	0	1.90039861721451E-02
0	0	65	0	1.82313159693005E-02
0	0	70	0	1.73454905531167E-02
0	0	75	0	1.64420746591978E-02
0	0	80	0	1.56625237878126E-02
0	0	85	0	1.51374750366071E-02
0	0	89.9	0	1.49528047220608E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=10) [1/sr]
0	0	0	10	6.89561470278953E-02
0	0	5	10	6.64569820886696E-02
0	0	10	10	5.98307660961705E-02
0	0	15	10	5.11245482029059E-02
0	0	20	10	4.24130871841969E-02
0	0	25	10	3.50149054531837E-02
0	0	30	10	0.029398599594643
0	0	35	10	2.54771764403861E-02
0	0	40	10	2.29210390408959E-02
0	0	45	10	2.13418462567155E-02
0	0	50	10	2.03670951215422E-02
0	0	55	10	1.96707013990812E-02
0	0	60	10	1.90039861721451E-02
0	0	65	10	1.82313159693004E-02
0	0	70	10	1.73454905531167E-02
0	0	75	10	1.64420746591978E-02
0	0	80	10	1.56625237878126E-02
0	0	85	10	1.51374750366071E-02
0	0	89.9	10	1.49528047220608E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=20) [1/sr]
0	0	0	20	6.89561470278953E-02
0	0	5	20	6.64569820886696E-02
0	0	10	20	5.98307660961705E-02
0	0	15	20	5.11245482029059E-02
0	0	20	20	4.24130871841969E-02
0	0	25	20	3.50149054531837E-02
0	0	30	20	0.029398599594643
0	0	35	20	2.54771764403861E-02
0	0	40	20	2.29210390408959E-02
0	0	45	20	2.13418462567155E-02
0	0	50	20	2.03670951215422E-02
0	0	55	20	1.96707013990813E-02
0	0	60	20	1.90039861721451E-02
0	0	65	20	1.82313159693005E-02
0	0	70	20	1.73454905531167E-02
0	0	75	20	1.64420746591978E-02
0	0	80	20	1.56625237878126E-02
0	0	85	20	1.51374750366071E-02
0	0	89.9	20	1.49528047220608E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=30) [1/sr]
0	0	0	30	6.89561470278953E-02
0	0	5	30	6.64569820886696E-02
0	0	10	30	5.98307660961705E-02
0	0	15	30	5.11245482029059E-02
0	0	20	30	4.24130871841969E-02
0	0	25	30	3.50149054531837E-02
0	0	30	30	0.029398599594643
0	0	35	30	2.54771764403861E-02
0	0	40	30	2.29210390408959E-02
0	0	45	30	2.13418462567155E-02
0	0	50	30	2.03670951215422E-02
0	0	55	30	1.96707013990812E-02
0	0	60	30	1.90039861721451E-02
0	0	65	30	1.82313159693005E-02
0	0	70	30	1.73454905531167E-02
0	0	75	30	1.64420746591978E-02
0	0	80	30	1.56625237878126E-02
0	0	85	30	1.51374750366071E-02
0	0	89.9	30	1.49528047220608E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=40) [1/sr]
0	0	0	40	6.89561470278953E-02
0	0	5	40	6.64569820886696E-02
0	0	10	40	5.98307660961705E-02
0	0	15	40	5.11245482029059E-02
0	0	20	40	4.24130871841969E-02
0	0	25	40	3.50149054531837E-02
0	0	30	40	0.029398599594643
0	0	35	40	2.54771764403861E-02
0	0	40	40	2.29210390408959E-02
0	0	45	40	2.13418462567155E-02
0	0	50	40	2.03670951215422E-02
0	0	55	40	1.96707013990812E-02
0	0	60	40	1.90039861721451E-02
0	0	65	40	1.82313159693005E-02
0	0	70	40	1.73454905531167E-02
0	0	75	40	1.64420746591978E-02
0	0	80	40	1.56625237878126E-02
0	0	85	40	1.51374750366071E-02
0	0	89.9	40	1.49528047220608E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=50) [1/sr]
0	0	0	50	6.89561470278953E-02
0	0	5	50	6.64569820886696E-02
0	0	10	50	5.98307660961705E-02
0	0	15	50	5.11245482029059E-02
0	0	20	50	4.24130871841969E-02
0	0	25	50	3.50149054531837E-02
0	0	30	50	0.029398599594643
0	0	35	50	2.54771764403861E-02
0	0	40	50	2.29210390408959E-02
0	0	45	50	2.13418462567155E-02
0	0	50	50	2.03670951215422E-02
0	0	55	50	1.96707013990813E-02
0	0	60	50	1.90039861721451E-02
0	0	65	50	1.82313159693005E-02
0	0	70	50	1.73454905531167E-02
0	0	75	50	1.64420746591978E-02
0	0	80	50	1.56625237878126E-02
0	0	85	50	1.51374750366071E-02
0	0	89.9	50	1.49528047220608E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=60) [1/sr]
0	0	0	60	6.89561470278953E-02
0	0	5	60	6.64569820886696E-02
0	0	10	60	5.98307660961705E-02
0	0	15	60	5.11245482029059E-02
0	0	20	60	4.24130871841969E-02
0	0	25	60	3.50149054531837E-02
0	0	30	60	0.029398599594643
0	0	35	60	2.54771764403861E-02
0	0	40	60	2.29210390408959E-02
0	0	45	60	2.13418462567155E-02
0	0	50	60	2.03670951215422E-02
0	0	55	60	1.96707013990813E-02
0	0	60	60	1.90039861721451E-02
0	0	65	60	1.82313159693005E-02
0	0	70	60	1.73454905531167E-02
0	0	75	60	1.64420746591978E-02
0	0	80	60	1.56625237878126E-02
0	0	85	60	1.51374750366071E-02
0	0	89.9	60	1.49528047220608E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=70) [1/sr]
0	0	0	70	6.89561470278953E-02
0	0	5	70	6.64569820886696E-02
0	0	10	70	5.98307660961705E-02
0	0	15	70	5.11245482029059E-02
0	0	20	70	4.24130871841969E-02
0	0	25	70	3.50149054531837E-02
0	0	30	70	0.029398599594643
0	0	35	70	2.54771764403861E-02
0	0	40	70	2.29210390408959E-02
0	0	45	70	2.13418462567155E-02
0	0	50	70	2.03670951215422E-02
0	0	55	70	1.96707013990812E-02
0	0	60	70	1.90039861721451E-02
0	0	65	70	1.82313159693004E-02
0	0	70	70	1.73454905531167E-02
0	0	75	70	1.64420746591978E-02
0	0	80	70	1.56625237878126E-02
0	0	85	70	1.51374750366071E-02
0	0	89.9	70	1.49528047220608E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=80) [1/sr]
0	0	0	80	6.89561470278953E-02
0	0	5	80	6.64569820886696E-02
0	0	10	80	5.98307660961705E-02
0	0	15	80	5.11245482029059E-02
0	0	20	80	4.24130871841969E-02
0	0	25	80	3.50149054531837E-02
0	0	30	80	0.029398599594643
0	0	35	80	2.54771764403861E-02
0	0	40	80	2.29210390408959E-02
0	0	45	80	2.13418462567155E-02
0	0	50	80	2.03670951215422E-02
0	0	55	80	1.96707013990812E-02
0	0	60	80	1.90039861721451E-02
0	0	65	80	1.82313159693004E-02
0	0	70	80	1.73454905531167E-02
0	0	75	80	1.64420746591978E-02
0	0	80	80	1.56625237878126E-02
0	0	85	80	1.51374750366071E-02
0	0	89.9	80	1.49528047220608E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=90) [1/sr]
0	0	0	90	6.89561470278953E-02
0	0	5	90	6.64569820886696E-02
0	0	10	90	5.98307660961705E-02
0	0	15	90	5.11245482029059E-02
0	0	20	90	4.24130871841969E-02
0	0	25	90	3.50149054531837E-02
0	0	30	90	0.029398599594643
0	0	35	90	2.54771764403861E-02
0	0	40	90	2.29210390408959E-02
0	0	45	90	2.13418462567155E-02
0	0	50	90	2.03670951215422E-02
0	0	55	90	1.96707013990812E-02
0	0	60	90	1.90039861721451E-02
0	0	65	90	1.82313159693005E-02
0	0	70	90	1.73454905531167E-02
0	0	75	90	1.64420746591978E-02
0	0	80	90	1.56625237878126E-02
0	0	85	90	1.51374750366071E-02
0	0	89.9	90	1.49528047220608E-02
Spec Polar [deg.]	Spec Azimuth [deg.]	Scatter Polar [deg.]	Scatter Azimuth [deg.]	BSDF (AOI=0, AZI=100) [1/sr]
0	0	0	100	6.89561470278953E-02
0	0	5	100	6.64569820886696E-02
