BRF Values
LOFT 12" sample titanium grade 2 titanium anodize
Measurements taken on Jul 16 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
 70.000	  0.000	  0.000	  0.000	0.091183	0.095069
 70.000	  0.000	  5.000	  0.000	0.082743	0.080533
 70.000	  0.000	 10.000	  0.000	0.075904	0.069150
 70.000	  0.000	 15.000	  0.000	0.070130	0.060488
 70.000	  0.000	 20.000	  0.000	0.065820	0.054016
 70.000	  0.000	 25.000	  0.000	0.062360	0.048836
 70.000	  0.000	 30.000	  0.000	0.059840	0.045327
 70.000	  0.000	 35.000	  0.000	0.057909	0.042866
 70.000	  0.000	 40.000	  0.000	0.047498	0.041700
 70.000	  0.000	 45.000	  0.000	0.056652	0.042277
 70.000	  0.000	 50.000	  0.000	0.058119	0.045639
 70.000	  0.000	 55.000	  0.000	0.061185	0.054094
 70.000	  0.000	 58.000	  0.000	0.059259	0.041254
  0.000	  0.000	 45.000	  0.000	0.125090	0.171673
