type bsdf_data
format angles=deg bsdf=value scale=1
10	0
0	0	0.029915
5	0	0.033984
5	10	0.033899
5	20	0.033650
5	30	0.033249
5	40	0.032714
5	50	0.032071
5	60	0.031348
5	70	0.030573
5	80	0.029776
5	90	0.028982
5	100	0.028217
5	110	0.027501
5	120	0.026851
5	130	0.026282
5	140	0.025803
5	150	0.025423
5	160	0.025147
5	170	0.024981
5	180	0.024925
10	0	0.035861
10	10	0.035685
10	20	0.035171
10	30	0.034354
10	40	0.033288
10	50	0.032037
10	60	0.030669
10	70	0.029249
10	80	0.027836
10	90	0.026477
10	100	0.025209
10	110	0.024059
10	120	0.023044
10	130	0.022176
10	140	0.021463
10	150	0.020906
10	160	0.020508
10	170	0.020270
10	180	0.020190
15	0	0.034958
15	10	0.034715
15	20	0.034009
15	30	0.032900
15	40	0.031481
15	50	0.029853
15	60	0.028120
15	70	0.026374
15	80	0.024686
15	90	0.023109
15	100	0.021677
15	110	0.020410
15	120	0.019316
15	130	0.018398
15	140	0.017655
15	150	0.017081
15	160	0.016675
15	170	0.016432
15	180	0.016352
20	0	0.031780
20	10	0.031511
20	20	0.030732
20	30	0.029524
20	40	0.028003
20	50	0.026295
20	60	0.024520
20	70	0.022775
20	80	0.021130
20	90	0.019630
20	100	0.018297
20	110	0.017140
20	120	0.016156
20	130	0.015340
20	140	0.014684
20	150	0.014181
20	160	0.013826
20	170	0.013614
20	180	0.013544
25	0	0.027543
25	10	0.027283
25	20	0.026534
25	30	0.025386
25	40	0.023960
25	50	0.022389
25	60	0.020789
25	70	0.019251
25	80	0.017832
25	90	0.016564
25	100	0.015459
25	110	0.014512
25	120	0.013717
25	130	0.013061
25	140	0.012536
25	150	0.012133
25	160	0.011849
25	170	0.011679
25	180	0.011622
30	0	0.023422
30	10	0.023189
30	20	0.022521
30	30	0.021507
30	40	0.020263
30	50	0.018915
30	60	0.017566
30	70	0.016295
30	80	0.015146
30	90	0.014140
30	100	0.013278
30	110	0.012551
30	120	0.011946
30	130	0.011450
30	140	0.011052
30	150	0.010747
30	160	0.010530
30	170	0.010400
30	180	0.010357
35	0	0.020100
35	10	0.019896
35	20	0.019316
35	30	0.018439
35	40	0.017375
35	50	0.016237
35	60	0.015116
35	70	0.014077
35	80	0.013157
35	90	0.012368
35	100	0.011705
35	110	0.011155
35	120	0.010703
35	130	0.010336
35	140	0.010042
35	150	0.009815
35	160	0.009653
35	170	0.009556
35	180	0.009523
40	0	0.017772
40	10	0.017592
40	20	0.017079
40	30	0.016307
40	40	0.015378
40	50	0.014392
40	60	0.013432
40	70	0.012555
40	80	0.011791
40	90	0.011147
40	100	0.010616
40	110	0.010184
