45.0000000	 0.0000000	 0.0000000	0.0000000
-55.0000000	-55.0000000	 0.0000000	170.0000000
-59.9282153	-54.9958826	 0.8208281	170.5747990
-58.5469640	-54.9270681	 3.4514072	172.4203485
-55.8433320	-54.8526393	 4.9011145	173.4422627
-52.7775503	-54.8735998	 4.5404601	173.1875804
-50.5383108	-54.9669891	 2.3232656	171.6278793
50.0810762	54.9947575	 0.9261971	-10.6486005
51.6116726	54.9135616	 3.7567487	-12.6352088
54.4558647	54.8475510	 4.9846734	-13.5013173
57.4608042	54.8872916	 4.2882871	-13.0096942
59.5208037	54.9735151	 2.0811692	-11.4580490
-69.8034869	-54.9690911	 2.2481448	171.5751747
-65.9987685	-54.4269617	 9.6101398	176.8089287
-58.3636671	-53.7113474	14.2760600	180.2631343
-49.1889967	-53.7032173	14.3194988	180.2960544
-41.8763151	-54.6044372	 8.0033380	175.6498842
40.2862521	54.9347874	 3.2639861	-12.2885517
45.4679358	54.0434680	12.3533401	-18.8212839
54.3001785	53.5755341	14.9828874	-20.8008517
62.9673209	54.0783663	12.1314745	-18.6567068
68.6861131	54.7986019	 5.7255530	-14.0257854
-99.4884280	-54.7894827	 5.8530285	174.1161904
-89.8158377	-50.8793765	24.6241428	188.7196003
-71.0364343	-43.8289633	37.3375055	202.2856011
-47.3505634	-37.0518149	44.0539354	212.6452846
-22.1520554	-39.1167865	42.3301584	209.6289988
12.5760193	49.7056199	27.5128040	-31.3893599
36.1043312	35.7918020	44.9991476	-54.4419853
60.9093529	40.5102551	41.0254361	-47.5336374
82.3195103	47.9612816	31.0681734	-34.9521917
96.6051742	53.6094620	14.8099405	-20.6688738
-45.0000000	0.0000000	 0.0000000	180.0000000
45.0000000	 0.0000000	 0.0000000	0.0000000
-20.0000000	-20.0000000	 0.0000000	150.0000000
-24.4529586	-19.8976082	 2.0634337	155.6809936
-22.4830974	-19.5954104	 4.0835512	161.3118429
-19.5560570	-19.3904253	 4.9972628	163.9007571
-16.6106960	-19.6117879	 4.0010117	161.0795135
-15.0361072	-19.9886414	 0.6881751	151.8911799
15.8600335	19.7640307	 3.1263301	-38.6306579
18.5148783	19.4095831	 4.9194991	-43.6791059
21.5777825	19.4968206	 4.5473833	-42.6219755
23.9409181	19.8086106	 2.8174110	-37.7708196
24.9778521	19.9957137	 0.4227862	-31.1616961
-33.7972001	-19.4931273	 4.5637932	162.6684755
-29.3468869	-17.6828873	 9.4975222	177.3643894
-22.1685279	-15.1037896	13.2659506	190.3723550
-13.2304176	-13.3846670	14.9992251	197.4040160
-5.3092522	-19.1912688	 5.7390836	166.0292269
10.1547717	13.8846699	14.5391831	-75.4428463
19.3212615	14.2841005	14.1472621	-73.8305926
27.2184980	16.8637349	10.9124376	-61.9851410
32.6598440	19.0200302	 6.3015129	-47.6617953
34.9515301	19.9794525	 0.9254605	-32.5437384
-62.9338229	-18.4720492	 7.8045568	172.1220129
-55.5215730	-12.7409056	15.5462441	199.8475580
-44.3776642	-3.0889413	19.7696792	230.9351446
-32.4148834	-9.7076174	17.5710189	269.5388199
25.1790151	19.7194818	 3.4064610	39.4124976
-29.0841493	-14.0247060	14.4043579	165.1175109
-40.2856629	-0.9164106	19.9798527	122.6802685
52.1075895	 9.9405239	17.4431613	-89.6869625
61.0047349	17.0203452	10.6620440	-61.1483964
64.9162158	19.9385523	 1.5994523	-34.3999241
-45.0000000	0.0000000	 0.0000000	180.0000000
