BRF Values
LOFT 3x6" sample INVAR_Aeroglaze_2307_9924
Measurements taken on Jul 15 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
 70.000	  0.000	  0.000	  0.000	0.013756	0.032353
 70.000	  0.000	  5.000	  0.000	0.013485	0.030615
 70.000	  0.000	 10.000	  0.000	0.013260	0.029245
 70.000	  0.000	 15.000	  0.000	0.013296	0.028620
 70.000	  0.000	 20.000	  0.000	0.013460	0.027951
 70.000	  0.000	 25.000	  0.000	0.013730	0.027982
 70.000	  0.000	 30.000	  0.000	0.014312	0.028113
 70.000	  0.000	 35.000	  0.000	0.015592	0.028874
 70.000	  0.000	 40.000	  0.000	0.016919	0.029871
 70.000	  0.000	 45.000	  0.000	0.018591	0.031702
 70.000	  0.000	 50.000	  0.000	0.021347	0.034435
 70.000	  0.000	 55.000	  0.000	0.025051	0.038760
 70.000	  0.000	 58.000	  0.000	0.029782	0.036442
  0.000	  0.000	 45.000	  0.000	0.030248	0.032267
