BRF Values
UA Working NIST reference as ref for LOFT Aeroglaze 2307 9924 3x6" sample
Measurements taken on Jul 15 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
 70.000	  0.000	  0.000	  0.000	0.930576	0.929643
 70.000	  0.000	  5.000	  0.000	0.923592	0.920155
 70.000	  0.000	 10.000	  0.000	0.916666	0.910936
 70.000	  0.000	 15.000	  0.000	0.913656	0.906031
 70.000	  0.000	 20.000	  0.000	0.908765	0.899469
 70.000	  0.000	 25.000	  0.000	0.904404	0.893793
 70.000	  0.000	 30.000	  0.000	0.899413	0.887788
 70.000	  0.000	 35.000	  0.000	0.901519	0.883455
 70.000	  0.000	 40.000	  0.000	0.898686	0.881510
 70.000	  0.000	 45.000	  0.000	0.901666	0.879485
 70.000	  0.000	 50.000	  0.000	0.903090	0.878269
 70.000	  0.000	 55.000	  0.000	0.908490	0.879657
 70.000	  0.000	 58.000	  0.000	0.908079	0.870142
  0.000	  0.000	 45.000	  0.000	1.009018	1.021266
