BRF Values
LOFT Invar Anoplate Nite sample
Measurements taken on Jul 06 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
 70.000	  0.000	  0.000	  0.000	0.022309	0.033818
 70.000	  0.000	  5.000	  0.000	0.015743	0.027460
 70.000	  0.000	 10.000	  0.000	0.007919	0.022336
 70.000	  0.000	 15.000	  0.000	0.008690	0.018463
 70.000	  0.000	 20.000	  0.000	0.007447	0.015612
 70.000	  0.000	 25.000	  0.000	0.006615	0.013436
 70.000	  0.000	 30.000	  0.000	0.005918	0.011931
 70.000	  0.000	 35.000	  0.000	0.009340	0.011467
 70.000	  0.000	 40.000	  0.000	0.007078	0.011604
 70.000	  0.000	 45.000	  0.000	0.009028	0.012844
 70.000	  0.000	 50.000	  0.000	0.005765	0.015574
 70.000	  0.000	 55.000	  0.000	0.004590	0.020764
 70.000	  0.000	 58.000	  0.000	0.008530	0.008663
  0.000	  0.000	 45.000	  0.000	0.053017	0.052347
