BRF Values
UA 10" NIST Working Reference Spectralon as ref for LOFT Invar Anoplate Nite
Measurements taken on Jul 06 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
 70.000	  0.000	  0.000	  0.000	0.931680	0.927850
 70.000	  0.000	  5.000	  0.000	0.923817	0.918417
 70.000	  0.000	 10.000	  0.000	0.916859	0.908877
 70.000	  0.000	 15.000	  0.000	0.909474	0.901854
 70.000	  0.000	 20.000	  0.000	0.906662	0.895684
 70.000	  0.000	 25.000	  0.000	0.901474	0.889317
 70.000	  0.000	 30.000	  0.000	0.900397	0.885210
 70.000	  0.000	 35.000	  0.000	0.900263	0.880726
 70.000	  0.000	 40.000	  0.000	0.900188	0.879765
 70.000	  0.000	 45.000	  0.000	0.898158	0.876458
 70.000	  0.000	 50.000	  0.000	0.901577	0.872738
 70.000	  0.000	 55.000	  0.000	0.906820	0.876308
 70.000	  0.000	 58.000	  0.000	0.910246	0.868098
  0.000	  0.000	 45.000	  0.000	1.012127	1.018711
