bsdf_data
angles=deg bsdf=value scale=1
10	0
0	0	0.024536
0	10	0.024536
0	20	0.024536
0	30	0.024536
0	40	0.024536
0	50	0.024536
0	60	0.024536
0	70	0.024536
0	80	0.024536
0	90	0.024536
0	100	0.024536
0	110	0.024536
0	120	0.024536
0	130	0.024536
0	140	0.024536
0	150	0.024536
0	160	0.024536
0	170	0.024536
0	180	0.024536
0	190	0.024536
0	200	0.024536
0	210	0.024536
0	220	0.024536
0	230	0.024536
0	240	0.024536
0	250	0.024536
0	260	0.024536
0	270	0.024536
0	280	0.024536
0	290	0.024536
0	300	0.024536
0	310	0.024536
0	320	0.024536
0	330	0.024536
0	340	0.024536
0	350	0.024536
5	0	0.026030
5	10	0.025978
5	20	0.025710
5	30	0.025638
5	40	0.025100
5	50	0.024929
5	60	0.024742
5	70	0.024304
5	80	0.023942
5	90	0.023831
5	100	0.023946
5	110	0.024113
5	120	0.024066
5	130	0.024099
5	140	0.024644
5	220	0.024644
5	230	0.024099
5	240	0.024066
5	250	0.024113
5	260	0.023946
5	270	0.023831
5	280	0.023942
5	290	0.024304
5	300	0.024742
5	310	0.024929
5	320	0.025100
5	330	0.025638
5	340	0.025710
5	350	0.025978
10	0	0.025850
10	10	0.025790
10	20	0.025508
10	30	0.025284
10	40	0.025057
10	50	0.024606
10	60	0.024205
10	70	0.024180
10	80	0.023698
10	90	0.022937
10	100	0.023089
10	110	0.023247
10	120	0.023192
10	130	0.022501
10	140	0.023385
10	220	0.023385
10	230	0.022501
10	240	0.023192
10	250	0.023247
10	260	0.023089
10	270	0.022937
10	280	0.023698
10	290	0.024180
10	300	0.024205
10	310	0.024606
10	320	0.025057
10	330	0.025284
10	340	0.025508
10	350	0.025790
15	0	0.025311
15	10	0.025354
15	20	0.025220
15	30	0.024766
15	40	0.024413
15	50	0.023765
15	60	0.023651
15	70	0.023076
15	80	0.022482
15	90	0.022248
15	100	0.021680
15	110	0.021513
15	120	0.021394
15	130	0.021316
15	140	0.020782
15	220	0.020782
15	230	0.021316
15	240	0.021394
15	250	0.021513
15	260	0.021680
15	270	0.022248
15	280	0.022482
15	290	0.023076
15	300	0.023651
15	310	0.023765
15	320	0.024413
15	330	0.024766
15	340	0.025220
15	350	0.025354
20	0	0.023798
20	10	0.023646
20	20	0.023967
20	30	0.023832
20	40	0.023506
20	50	0.023155
20	60	0.022776
20	70	0.022014
20	80	0.021670
20	90	0.020960
20	100	0.020337
20	110	0.020107
20	120	0.019740
20	130	0.019598
20	140	0.019383
20	220	0.019383
20	230	0.019598
20	240	0.019740
20	250	0.020107
20	260	0.020337
20	270	0.020960
20	280	0.021670
20	290	0.022014
20	300	0.022776
20	310	0.023155
20	320	0.023506
20	330	0.023832
20	340	0.023967
20	350	0.023646
25	0	0.022729
25	10	0.022947
25	20	0.022778
25	30	0.022652
25	40	0.022165
25	50	0.022009
25	60	0.021333
25	70	0.021268
25	80	0.020750
25	90	0.019663
25	100	0.019141
25	110	0.018769
25	120	0.018198
25	130	0.017779
25	140	0.017592
25	150	0.017224
25	160	0.017229
25	170	0.017636
25	180	0.017115
25	190	0.017636
25	200	0.017229
25	210	0.017224
25	220	0.017592
25	230	0.017779
25	240	0.018198
25	250	0.018769
25	260	0.019141
25	270	0.019663
25	280	0.020750
25	290	0.021268
25	300	0.021333
25	310	0.022009
25	320	0.022165
25	330	0.022652
25	340	0.022778
25	350	0.022947
30	0	0.021676
30	10	0.021836
30	20	0.021392
30	30	0.021140
30	40	0.021055
30	50	0.020925
30	60	0.020516
30	70	0.020107
30	80	0.019263
30	90	0.018721
30	100	0.018169
30	110	0.017438
30	120	0.016935
30	130	0.016534
30	140	0.015920
30	150	0.015683
30	160	0.015608
30	170	0.015584
30	180	0.015728
30	190	0.015584
30	200	0.015608
30	210	0.015683
30	220	0.015920
30	230	0.016534
30	240	0.016935
30	250	0.017438
30	260	0.018169
30	270	0.018721
30	280	0.019263
30	290	0.020107
30	300	0.020516
30	310	0.020925
30	320	0.021055
30	330	0.021140
30	340	0.021392
30	350	0.021836
35	0	0.019645
35	10	0.019760
35	20	0.019773
35	30	0.019690
35	40	0.019738
35	50	0.019719
35	60	0.019477
35	70	0.019101
35	80	0.018418
35	90	0.017683
35	100	0.016921
35	110	0.016347
35	120	0.015708
35	130	0.015011
35	140	0.014653
35	150	0.014403
35	160	0.014098
35	170	0.013667
35	180	0.014113
35	190	0.013667
35	200	0.014098
35	210	0.014403
35	220	0.014653
35	230	0.015011
35	240	0.015708
35	250	0.016347
35	260	0.016921
35	270	0.017683
35	280	0.018418
35	290	0.019101
