type bsdf_data
format angles=deg bsdf=value scale=1
10	30
0	0	0.003091
5	0	0.004068
5	10	0.005438
5	20	0.004540
5	30	0.001700
5	40	0.002203
5	50	0.004673
5	60	0.006763
5	70	0.004040
5	80	0.003021
5	90	0.006582
5	100	0.351525
5	110	0.196865
5	120	0.005264
5	130	0.002759
5	140	0.002275
5	150	0.001997
5	160	0.002401
5	170	0.004658
5	250	0.087133
5	260	0.021068
5	270	0.001701
5	280	0.001577
5	290	0.001840
5	300	0.013487
5	310	0.042645
5	320	0.005176
5	330	0.001815
5	340	0.001685
5	350	0.002237
10	0	0.004764
10	10	0.006797
10	20	0.001623
10	30	0.067096
10	40	0.002227
10	50	0.001705
10	60	0.002273
10	70	0.051257
10	80	0.002338
10	90	0.002608
10	100	0.032594
10	110	0.001800
10	120	0.001400
10	130	0.001590
10	140	0.001519
10	150	0.001262
10	160	0.001354
10	170	0.002421
10	250	0.002201
10	260	0.086808
10	270	0.001704
10	280	0.001421
10	290	0.016835
10	300	0.001718
10	310	0.002590
10	320	0.005689
10	330	0.617520
10	340	0.020605
10	350	0.002056
15	0	0.002936
15	10	0.002073
15	20	0.014342
15	30	0.001251
15	40	0.002437
15	50	0.001799
15	60	0.002602
15	70	0.001882
15	80	0.002060
15	90	0.008690
15	100	0.005022
15	110	0.001516
15	120	0.001358
15	130	0.001180
15	140	0.001852
15	150	0.001279
15	160	0.001990
15	170	0.001285
15	250	0.001825
15	260	0.297996
15	270	0.002686
15	280	0.015707
15	290	0.001527
15	300	0.001669
15	310	0.001230
15	320	0.001467
15	330	0.001629
15	340	0.035021
15	350	0.001676
20	0	0.001528
20	10	0.001853
20	20	0.099257
20	30	0.000806
20	40	0.000085
20	50	0.002618
20	60	0.002327
20	70	0.001409
20	80	0.002920
20	90	0.001829
20	100	0.001277
20	110	0.001470
20	120	0.002009
20	130	0.005115
20	140	0.001148
20	150	0.004150
20	160	0.001043
20	170	0.001033
20	250	0.010472
20	260	0.001021
20	270	0.001159
20	280	0.087352
20	290	0.001140
20	300	0.001221
20	310	0.004975
20	320	0.001273
20	330	0.001719
20	340	0.002423
20	350	0.006811
25	0	0.001257
25	10	0.001387
25	20	0.001257
25	30	0.001192
25	40	0.093645
25	50	0.001078
25	60	0.000997
25	70	0.002023
25	80	0.001331
25	90	0.010136
25	100	0.001991
25	110	0.001145
25	120	0.002782
25	130	0.001061
