BRF Values
LOFT 12" sample Aluminum 6061 optical black anodize
Measurements taken on Jul 16 2026 by nik
BRF values calculated with F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\Black_Lab_BRF_v6.m using 0/45 configuration
NIST BRF values linearly interpolated from F:\data\sorted\data_processing_programs\blacklab_rf_calculator_MATLAB\NIST RF files\RSG_working_NIST_standard\NIST_291181-Revised_24477-1-1_0-45_Extended.txt
src_z	src_a	view_z	view_a	385.65nm	1059.04nm
 70.000	  0.000	  0.000	  0.000	0.071673	0.064850
 70.000	  0.000	  5.000	  0.000	0.067313	0.059960
 70.000	  0.000	 10.000	  0.000	0.062439	0.056058
 70.000	  0.000	 15.000	  0.000	0.058839	0.053100
 70.000	  0.000	 20.000	  0.000	0.056450	0.050939
 70.000	  0.000	 25.000	  0.000	0.054715	0.049596
 70.000	  0.000	 30.000	  0.000	0.053031	0.048738
 70.000	  0.000	 35.000	  0.000	0.053079	0.048659
 70.000	  0.000	 40.000	  0.000	0.053356	0.049262
 70.000	  0.000	 45.000	  0.000	0.054701	0.050934
 70.000	  0.000	 50.000	  0.000	0.057149	0.053785
 70.000	  0.000	 55.000	  0.000	0.060554	0.058204
 70.000	  0.000	 58.000	  0.000	0.063451	0.057483
  0.000	  0.000	 45.000	  0.000	0.058061	0.062017
